,title,description,originallink,link,pubDate
34,함태인 ‘우영우’ 뜬다,배우 함태인이 ‘이상한 변호사 <b>우영우</b>’ 마지막 회에서 남다른 존재감을 드러낸다. 소속사 제이플로엔터테인먼트에 따르면 함태인은 18일 오후 9시 방송되는 ENA ‘이상한 변호사 <b>우영우</b>’ 16회에 출연한다. ‘이상한... ,http://sports.khan.co.kr/news/sk_index.html?art_id=202208180953003&sec_id=540201&pt=nv,https://n.news.naver.com/mnews/article/144/0000831636?sid=106,"Thu, 18 Aug 2022 09:54:00 +0900"
35,"박은빈 아빠 전배수, '우영우' 종영소감 ""좋은 작품..너무 행복했다""","ENA채널 ‘이상한 변호사 <b>우영우</b>’(연출 유인식, 극본 문지원, 제작 에이스토리•KT스튜디오지니... 뿐만 아니라, 영우와의 티키타카로 재미까지 더하며 ‘이상한 변호사 <b>우영우</b>’에서 없어서는 안될 존재감을... ",http://www.osen.co.kr/article/G1111921503,https://n.news.naver.com/mnews/article/109/0004680458?sid=106,"Thu, 18 Aug 2022 09:54:00 +0900"
36,"함태인, '우영우' 마지막회 출연 ""박은빈♥강태오 사이 특별 존재감"" [공식]",배우 함태인이 &apos;이상한 변호사 <b>우영우</b>&apos; 마지막회에 출연한다. 소속사 제이플로엔터테인먼트에 따르면 함태인은 18일 방송되는 ENA 수목드라마 &apos;이상한 변호사 <b>우영우</b>&apos; 16회에 출연한다. 소속사에 따르면 함태인은 &apos;이상한... ,http://sports.chosun.com/news/ntype.htm?id=202208190100129090007890&servicedate=20220818,https://n.news.naver.com/mnews/article/076/0003906081?sid=106,"Thu, 18 Aug 2022 09:52:00 +0900"
37,"""당신을 좋아하지만 나는 사람을 외롭게 해""…우영우 13.7% 기록(종합)",고객 개인정보 유출한 대기업 변론…끈끈한 동료애 과시 최종회를 앞둔 ENA 수목드라마 &apos;이상한 변호사 <b>우영우</b>&apos;(이하 &apos;<b>우영우</b>&apos;)가 옳다고 믿는 가치와 동료들을 위해 용기를 내는 법무법인 한바다 신입 변호사들의 모습을... ,https://www.yna.co.kr/view/AKR20220818018751005?input=1195m,https://n.news.naver.com/mnews/article/001/0013382242?sid=103,"Thu, 18 Aug 2022 09:52:00 +0900"
38,"'우영우' 전배수, 국민아빠 등극 ""너무 행복했다"" 종영 소감",드라마 &apos;이상한 변호사 <b>우영우</b>&apos;를 통해 국민아빠로 등극한 배우 전배수가 종영 소감을 밝혔다. 전배수는 18일 ENA &apos;이상한 변호사 <b>우영우</b>&apos; 최종회 방송을 앞두고 소속사를 통해 종영 소감을 전했다. ENA &apos;이상한 변호사 <b>우영우</b>... ,http://www.joynews24.com/view/1511296,http://www.joynews24.com/view/1511296,"Thu, 18 Aug 2022 09:52:00 +0900"
39,"'우영우' 주종혁 ""가족도 욕하는 권모술수 보다 '시고르자브종혁' 좋아""[화보...",배우 주종혁이 드라마 &apos;이상한 변호사 <b>우영우</b>&apos; 속 홀로 악역을 연기한 소감을 밝혔다. 18일 매거진 하퍼스 바자는 주종혁과 함께한 화보를 공개했다. 주종혁은 현재 방영 중인 드라마 &apos;이상한 변호사 <b>우영우</b>&apos;에서 권모술수... ,https://tenasia.hankyung.com/topic/article/2022081810564,https://n.news.naver.com/mnews/article/312/0000564530?sid=106,"Thu, 18 Aug 2022 09:50:00 +0900"
40,"'우영우' 서브 아빠 맞아?…강기영, 엉뚱+섹시 매력 담은 화보 공개","최근 ENA 드라마 &apos;이상한 변호사 <b>우영우</b>&apos;의 정명석 변호사 캐릭터로 큰 사랑을 받고 있는 그는 &quot;들뜨지... 자신도 누군가에게 좋은 영향을 끼치는 사람이 되고 싶어졌다며, &apos;이상한 변호사 <b>우영우</b>&apos;라는 작품이 배우... ",https://star.ytn.co.kr/_sn/0117_202208180949127620,https://n.news.naver.com/mnews/article/052/0001778155?sid=106,"Thu, 18 Aug 2022 09:49:00 +0900"
41,“암을 개그 소재로? 실망이다” '용두사미'란 말까지 나온 우영우 상황,&apos;이상한 변호사 <b>우영우</b>&apos;에서 지난주에 이어 이번 주도 논란 중인 장면이 있다. 지난 17일 방송된 ENA &apos;이상한 변호사 <b>우영우</b>&apos;에서는 정명석(강기영) 변호사가 위암 수술을 받으러 수술실에 들어가는 장면이 그려졌다. 이때... ,https://www.wikitree.co.kr/articles/781381,https://www.wikitree.co.kr/articles/781381,"Thu, 18 Aug 2022 09:48:00 +0900"
42,'이상한 변호사 우영우' 마지막회 출연하는 '이 배우'...결말 알려준다 (+정체...,실력파 배우가 &apos;이상한 변호사 <b>우영우</b>&apos; 마지막 회에서 남다른 존재감을 발휘한다. 소속사 제이플로엔터테인먼트에 따르면 함태인은 18일 밤 9시 방송되는 &apos;이상한 변호사 <b>우영우</b>&apos; 16회에 출연한다. &apos;이상한 변호사 <b>우영우</b>... ,https://www.wikitree.co.kr/articles/781396,https://www.wikitree.co.kr/articles/781396,"Thu, 18 Aug 2022 09:48:00 +0900"
43,"'영우 아빠' 전배수 ""뜨거운 사랑, 깊이 감사드린다"" 종영 소감",배우 전배수가 &apos;이상한 변호사 <b>우영우</b>&apos;에 작별 인사를 건넸다. ENA채널 ‘이상한 변호사 <b>우영우</b>’가 최종회 방송을 앞두고 있는 가운데 국민아빠로 활약한 배우 전배수가 종영 소감을 전했다. 전배수는 극 중 전도유망한... ,https://www.xportsnews.com/article/1619012,https://n.news.naver.com/mnews/article/311/0001489828?sid=106,"Thu, 18 Aug 2022 09:46:00 +0900"
